id,user,contest,place
1031,80,1,80
1032,80,20,138
1033,80,23,92
1034,80,34,142
1035,80,48,34
1036,80,77,198
1037,80,82,76
1038,80,151,98
1039,80,159,160
1040,81,1,81
1041,81,3,48
1042,81,5,158
1043,81,9,60
1044,81,14,41
1045,81,23,113
1046,81,27,126
1047,81,53,145
1048,81,55,57
1049,81,58,129
1050,81,66,59
1051,81,75,101
1052,81,77,72
1053,81,103,166
1054,81,112,141
1055,81,114,144
1056,81,136,41
1057,81,140,70
1058,81,146,73
1059,81,157,140
1060,81,159,194
1061,81,161,91
1062,81,166,45
1063,81,167,161
1064,81,171,120
1065,81,179,108
1066,81,181,58
1067,81,191,16
1068,81,193,19
1069,82,1,81
1070,82,9,178
1071,82,14,37
1072,82,83,176
1073,82,136,136
1074,82,142,8
1075,82,167,174
1076,83,1,81
1077,83,2,163
1078,83,3,183
1079,83,9,64
1080,83,24,45
1081,83,47,146
1082,83,51,72
1083,84,1,84
1084,84,8,97
1085,84,26,137
1086,84,118,124
1087,85,1,84
1088,86,1,86
1089,86,118,62
1090,86,191,190
1091,87,1,87
1092,88,1,88
1093,88,23,149
1094,88,27,173
1095,89,1,89
1096,89,3,129
1097,89,5,139
1098,89,14,57
1099,89,27,61
1100,89,29,152
1101,89,38,125
1102,89,43,99
1103,89,49,120
1104,89,53,84
1105,89,68,95
1106,89,70,164
1107,89,89,40
1108,89,124,166
1109,89,157,189
1110,89,197,151
1111,90,1,90
1112,91,1,91
1113,92,1,91
1114,92,4,193
1115,93,1,91
1116,93,8,49
1117,93,14,167
1118,93,45,18
1119,93,51,62
1120,93,60,89
1121,93,66,112
1122,93,76,51
1123,93,103,99
1124,93,105,123
1125,93,109,5
1126,93,121,3
1127,93,131,39
1128,93,144,113
1129,93,146,43
1130,93,159,56
1131,93,171,191
1132,93,197,114
1133,94,1,94
1134,94,76,161
1135,94,95,194
1136,94,96,78
1137,94,163,177
1138,95,1,95
1139,95,26,109
1140,95,78,54
1141,95,107,142
1142,95,122,114
1143,95,133,103
1144,96,1,96
1145,96,5,167
1146,96,17,151
1147,96,24,166
1148,96,41,142
1149,96,45,50
