id,name,rank,country 
5571,TerribleGuy,Specialist,Russia
5572,yhs,Expert,
5573,Saftap,Candidate Master,Russia
5574,fanfly,Expert,Taiwan
5575,dyven,Specialist,
5576,AokabiC,Expert,Japan
5577,ZZHzzh0_0,Expert,China
5578,cgiosy0,Expert,South Korea
5579,wyxdrqcccc,Expert,China
5580,t3018210153,Specialist,
5581,ilia-ivanov,Expert,India
5582,dima_chertolyas,Specialist,
5583,longnight,Expert,
5584,WIZeaz,Expert,China
5585,groeneprof,Candidate Master,Belgium
5586,kid_maksikkk,Specialist,
5587,costle,Expert,South Korea
5588,kkongas,Expert,Estonia
5589,crossing0ver,Candidate Master,Georgia
5590,elyutin159164,Specialist,Russia
5591,MatesV13,Candidate Master,Croatia
5592,-Azat-,Expert,Kazakhstan
5593,NOSS,Candidate Master,Japan
5594,yajnun,Expert,
5595,Qingyu,Expert,
5596,Prince_Kassad,Expert,Syria
5597,hzk_cpp,Expert,
5598,RedSnow,Expert,Indonesia
5599,Railgun,Expert,Kazakhstan
5600,Stlongzzy,Expert,
5601,wsyhb,Candidate Master,
5602,I_love_Herman_Duduk,Expert,
5603,VanEgg,Candidate Master,China
5604,I_love_KareninAA,Expert,Russia
5605,Arianfk,Candidate Master,Iran
5606,I_love_KareninAA_too,Expert,Russia
5607,alimq,Candidate Master,Kazakhstan
5608,siddhant1303,Candidate Master,India
5609,aaa_bbb_ccc,Expert,China
5610,arjitkansal,Candidate Master,India
5611,ToTheMoon,Expert,Ukraine
5612,mfbc,Expert,Brazil
5613,heisenberg97,Specialist,
5614,fjkpwm,Expert,China
5615,Holmesee,Expert,China
5616,vrohak,Specialist,Croatia
5617,ilian04,Master,Russia
5618,bahakz,Expert,Kazakhstan
5619,Ivang,Master,Russia
5620,zhabo,Expert,Kazakhstan
5621,amoo_johnny,Expert,
5622,Hex1234567,Candidate Master,
5623,introverted,Expert,Bangladesh
5624,Dragnoid99,Candidate Master,India
5625,TOPCYBERFLOWER,Expert,South Korea
5626,c1729,Expert,United States
5627,nimiranio,Pupil,
5628,aLOVEz_Dinosaur,Pupil,
5629,aniket025,Specialist,
5630,aaronnaidu,Candidate Master,South Africa
5631,zenitsu_,Specialist,India
5632,OutragedOmar,Expert,Jordan
5633,Iogey,Specialist,
5634,claristxdy,Specialist,China
5635,KareninAA,Expert,Russia
5636,-is-this-purple-,Specialist,
5637,v01dieJESUZz,Specialist,India
5638,AssWeCan2020,Specialist,
5639,ILLENIUM2,Expert,
5640,liyunfan1223,Candidate Master,China
5641,pavveu,Specialist,Poland
5642,KellyLu,Specialist,Taiwan
5643,nemshri,Newbie,
5644,Top1Top1Top1Top1,Specialist,Vietnam
5645,IOIchik,Specialist,Кыргызстан
5646,Yakudza,Expert,Ukraine
5647,25_din_me_paisa_double,Specialist,
5648,achibulup,Candidate Master,Vietnam
5649,-.-Ache-.-,Specialist,
5650,longlong233,Specialist,China
5651,dm99,Specialist,India
5652,timaktimak,Specialist,
5653,Anemone,Expert,
5654,ZADaCHI,Expert,
5655,Night_Kitten,Specialist,
5656,SuperMadMan,Specialist,
5657,bntti,Expert,Finland
5658,Ziware,Candidate Master,Russia
5659,AhooraBozorgManesh,Specialist,Iran
5660,bigspot,Expert,China
5661,Mathematician2000,Expert,Russia
5662,egardoz01,Expert,Russia
5663,cckk4467,Specialist,Виргинские о-ва (США)
5664,tourist_2.0,Specialist,India
5665,pyonsu,Expert,Japan
5666,arnbt,Expert,India
5667,coding_panda,Specialist,India
5668,Daniel19Frenzy,Expert,Mexico
5669,blaze.kick,Specialist,India
5670,cui010,Specialist,China
5671,Kishan1432000,Specialist,
5672,Chthollypipishan,Candidate Master,
5673,avicii,Specialist,Egypt
5674,rainbowbunny,Specialist,
5675,ArtemStep,Expert,
5676,The_Atheist,Specialist,
5677,Savcev,Specialist,
5678,proBoi,Specialist,
5679,GrumpyLama,Expert,
5680,oceanlin,Specialist,
5681,moody_moose,Specialist,Kazakhstan
5682,-SHINIGAMI-,Pupil,
5683,aman239843,Specialist,India
5684,Shiroishi,Specialist,
5685,Bob2006,Specialist,
5686,shivamsalil,Specialist,India
5687,wmxwmx,Specialist,China
5688,_vagabond,Specialist,India
5689,Arscool,Pupil,Kazakhstan
5690,infixint943,Candidate Master,Russia
5691,asdfrgsass,Specialist,Belarus
5692,jonatas57,Specialist,Brazil
5693,DDDickWWW,Specialist,
5694,Theofratus,Specialist,
5695,umiraito1,Pupil,
5696,Triple-H,Expert,
5697,Liviu2000,Specialist,Romania
5698,wegame10086,Specialist,
5699,minoum,Specialist,
5700,zhangwen123,Specialist,
5701,aps552,Specialist,
5702,xiaohejun,Specialist,China
5703,shubham_364,Specialist,India
5704,XY_py,Specialist,
5705,ElyesChaabouni,Expert,Tunisia
5706,Dark_Coder31,Specialist,India
5707,Shahidul1004,Specialist,Bangladesh
5708,Black_berry,Specialist,Russia
5709,LanFromJapan,Specialist,Thailand
5710,1q2w3e4r5t,Specialist,
5711,Luzivanlt,Expert,Vietnam
5712,nChurgulia,Specialist,
5713,SI_AM,Specialist,Bangladesh
5714,jalalium,Expert,Morocco
5715,Juvitus,Specialist,Brazil
5716,anik_ewu,Specialist,Bangladesh
5717,H4XX,Specialist,
5718,sarthakag,Expert,India
5719,Prunus,Expert,
5720,maria_atmazhitova,Specialist,Russia
5721,lemg,Specialist,Mexico
5722,YJJ_Konnyaku,Expert,China
5723,i_miss_littlestar,Specialist,
5724,nikeshthapa255,Specialist,India
5725,charlotte_lxy,Specialist,
5726,deadpool66,Expert,
5727,Mohamed_Saad62,Specialist,Egypt
5728,geekpradd,Candidate Master,India
5729,epascual_v2,Expert,Cuba
5730,denmen0207,Specialist,Ukraine
5731,Kavit_Kheni,Specialist,India
5732,xtd,Specialist,China
5733,WillAchieveTheImpossible,Expert,
5734,Ahmed_Nabiiil,Specialist,
5735,ewaoneup,Specialist,India
5736,BaseAI,Pupil,China
5737,Exile_2k4,Specialist,Vietnam
5738,LukalukaXXX,Specialist,
5739,vladpower,Specialist,Russia
5740,BBang3,Specialist,
5741,alamin_tushar,Specialist,Bangladesh
5742,gustavo_m32,Specialist,Brazil
5743,islingr,Specialist,
5744,AIchilajiang,Pupil,
5745,ijevtic,Specialist,Serbia
5746,Rajdeep,Specialist,
5747,VirtualApple,Specialist,
5748,__psy__cho,Specialist,Bangladesh
5749,BlueClover,Specialist,Vietnam
5750,bluesquanium,Candidate Master,South Korea
5751,youdieorniggas,Specialist,Vietnam
5752,naksh9619_,Specialist,India
5753,apikdech,Specialist,Indonesia
5754,forgotter,Specialist,India
5755,Boortsog,Pupil,Mongolia
5756,yez-zain,Pupil,Morocco
5757,avnitjnkol,Specialist,India
5758,karan_noob,Pupil,
5759,Messiah_10,Pupil,India
5760,LOlPop,Specialist,Kazakhstan
5761,MDario123,Candidate Master,Cuba
5762,Crz-Willis,Candidate Master,
5763,_HeWhoMustNotBeNamed_,Specialist,Bangladesh
5764,dlz666,Expert,China
5765,demon12321,Expert,India
5766,Mew,Specialist,
5767,SlDE,Specialist,Iran
5768,Saraw,Specialist,
5769,Fukuzatsu,Specialist,
5770,Azamat,Specialist,Кыргызстан
5771,Matteo.Verz,Expert,Romania
5772,Sho10,Expert,Moldova
5773,ZUFECJJ,Specialist,China
5774,lokilaggy,Pupil,
5775,desmond_kaneki,Specialist,India
5776,veerappan,Specialist,India
5777,Momo_zzz,Specialist,
5778,devalfa,Specialist,India
5779,anshul_jindal,Specialist,India
5780,nhuvinhpro123,Expert,Vietnam
5781,ChiliAct,Specialist,
5782,IamL,Specialist,
5783,Eng.Zayady,Specialist,Egypt
5784,BDFCL,Specialist,
5785,cool__dude__69,Specialist,India
5786,omega_k,Specialist,India
5787,JVM,Specialist,Russia
5788,_HonEy,Specialist,
5789,1234,Specialist,Kazakhstan
5790,AceOfStrings,Specialist,Sweden
5791,Hirky,Specialist,
5792,Mansurbek,Expert,Узбекистан
5793,bennhatbapquan,Pupil,Vietnam
5794,neverate,Specialist,Kazakhstan
5795,AsilenceBTF,Specialist,China
5796,Marshmalloc,Specialist,South Korea
5797,U__Square,Specialist,India
5798,Xuan,Pupil,Taiwan
5799,nickluo,Expert,China
5800,xyz32768,Grandmaster,China
5801,Haxenggu,"Unrated,",
5802,Hard_To_Name,Candidate Master,
5803,AghaSeyed,Candidate Master,Iran
5804,playf,Candidate Master,
5805,filwSodaine,Candidate Master,
5806,StripedAbyss,Candidate Master,
5807,DP_l_J_K_L_M_N_O_P,Candidate Master,
5808,twangal,Master,China
5809,aviroop123,Candidate Master,India
5810,Hamsterw,Candidate Master,China
5811,walfgun,Master,Taiwan
5812,Frame_.,Candidate Master,
5813,SidneyUranus,Expert,
5814,l9ll6lll,"Unrated,",
5815,_quq,Master,
5816,Tak3n,Expert,
5817,Alchemist0,Master,
5818,Lovely_Min,Expert,
5819,Makabaka,Candidate Master,
5820,lyly_61,Expert,
5821,hellomath,Master,
5822,Bhj2001,Master,India
5823,__Taday,Expert,
5824,AcidWrongGod,International Master,
5825,DebNatkh,Candidate Master,Russia
5826,wythend,Candidate Master,China
5827,Jeel_Vaishnav,Grandmaster,India
5828,katzper01,Master,Poland
5829,MaximOboznyi,Grandmaster,Ukraine
5830,MediationalField,Master,
5831,__santongding,Expert,China
5832,.Isaunoya,Expert,China
5833,s34vv1nd,Master,Vietnam
5834,AQT,Grandmaster,Canada
5835,cscse,Candidate Master,
5836,AyoAyowei,Candidate Master,China
5837,wyyxhjth,Candidate Master,
5838,lyuankai,Master,China
5839,Jason__Zhan,Candidate Master,
5840,ConanYu,Master,China
5841,Grice,Master,China
5842,O_O_Zzz,Candidate Master,
5843,bktl4ever,Candidate Master,Кыргызстан
5844,HOYITIO,Specialist,
5845,neklix,Expert,
5846,emanIaicepsa,Expert,
5847,Apale,Expert,China
5848,ammurat,Specialist,
5849,Xarr,Specialist,India
5850,adven55,Pupil,
5851,ayushdamele,Specialist,India
5852,__Leo__,Specialist,
5853,Make_CYF_Great_Again,Specialist,
5854,art-hack,Specialist,India
5855,tadat2452003,Specialist,
5856,jiojutsumaster,Specialist,
5857,Liverbird2002,Specialist,Latvia
5858,prabhath123,Specialist,India
5859,jainsiddhartha,Specialist,India
5860,Valters07,Candidate Master,Latvia
5861,MAMAEB,Expert,Russia
5862,lucky_21,Expert,India
5863,c5xheavy,Specialist,Russia
5864,lizhiendelaopo,Specialist,
5865,EkanshMahendru,Pupil,India
5866,hs-black,Master,China
5867,ShmilyJiSoo,Specialist,Vietnam
5868,ShinraTensei,Specialist,
5869,uditDesai,Specialist,India
5870,PrideBlack,Specialist,Russia
5871,spoil_sport,Specialist,India
5872,whatss7,Pupil,
5873,nathanlee726,Master,Taiwan
5874,Wind5654,Specialist,
5875,AhmedZ,Specialist,Egypt
5876,usuyus.22,Pupil,Turkey
5877,bayashiko,Specialist,Japan
5878,sunny_fei,Specialist,China
5879,forAsuka,Specialist,
5880,Coki628,Specialist,Japan
5881,sunhaina27,Expert,China
5882,harshilpatel4603,Pupil,
5883,SajidZakaria,Specialist,Bangladesh
5884,trojan-01,Specialist,
5885,Kir_P,Specialist,Belarus
5886,Jacob_Ren,Specialist,China
5887,darshankdarji,Specialist,India
5888,sp2710,Candidate Master,India
5889,buddy_1,Expert,India
5890,amankh99,Specialist,India
5891,zhaoyuzhaoyu,Expert,
5892,yashgupta417,Specialist,India
5893,outline,Specialist,Japan
5894,AdiAnand,Specialist,India
5895,Hydrogen_zyx,Candidate Master,China
5896,biswajitghosh98,Specialist,India
5897,meetyouagain,Specialist,
5898,parth_07,Specialist,India
5899,zex18,Specialist,Taiwan
5900,towfiq,Specialist,Bangladesh
5901,aayueshbar,Specialist,India
5902,YUKI_LELOUCH,Specialist,
5903,omerb.zeybek,Specialist,
5904,lifeiteng,Pupil,
5905,alowator,Specialist,Russia
5906,last_death,Specialist,India
5907,JcSonial,Specialist,
5908,Abunyawa,Pupil,Kazakhstan
5909,johntsung1,Pupil,Taiwan
5910,Alfred_Tirpitz,Specialist,China
5911,william40614,Specialist,
5912,king_of_tt,Pupil,
5913,ethan_hall,Expert,
5914,ibrahim_habib,Specialist,Egypt
5915,mamumamu,Specialist,Japan
5916,Recursiv7AG,Specialist,India
5917,I_love_Islam_,Specialist,Kazakhstan
5918,supakorn_mhee,Specialist,Thailand
5919,whx1003,Expert,China
5920,Bediver,Expert,Russia
5921,manish.17,Expert,India
5922,H4Wk3ye,Pupil,India
5923,frangl,Expert,Russia
5924,lusar98,Specialist,
5925,_kekus,Expert,Russia
5926,dh7401,Expert,South Korea
5927,nuchenghao,Specialist,China
5928,abhinavvv306,Master,India
5929,jaynils,Specialist,India
5930,drobucs,Expert,Russia
5931,Conar,Expert,Russia
5932,stlabi,Specialist,China
5933,H44,Candidate Master,Japan
5934,Envil_Saintan,Expert,South Korea
5935,jaideoka,Specialist,India
5936,godxpunk,Expert,India
5937,STORMGATE078,Specialist,Romania
5938,alrz,Expert,
5939,Super-keybroad,Specialist,
5940,rm22,Specialist,Russia
5941,ajovanov,Specialist,Croatia
5942,J.Ruegg,Specialist,
5943,HCC1787594808,Specialist,
5944,TamimEhsan,Expert,Bangladesh
5945,Sj2000,Specialist,
5946,Stenton,Specialist,Kazakhstan
5947,gourav987,Specialist,India
5948,TYGZ,Specialist,China
5949,Himangshu,Specialist,
5950,Hoax.,Specialist,Egypt
5951,Oom,Pupil,
5952,imranasuman,Specialist,India
5953,paroothisumit95,Specialist,India
5954,phamnhatnam,Specialist,Vietnam
5955,xenon_shivam,Specialist,India
5956,ashok123,Specialist,India
5957,III_Wolverine_III,Specialist,India
5958,Abdullahs_turtle,Specialist,Саудовская Аравия
5959,iankury,Expert,Brazil
5960,dimasclown,Specialist,
5961,ripu,Specialist,India
5962,canshul,Specialist,India
5963,IKnoom,Specialist,South Korea
5964,Songssuchasthegirl,Specialist,
5965,ferryfulei,Specialist,China
5966,Aloha,Specialist,
5967,nhanbin03,Specialist,
5968,Tsohg,Specialist,
5969,Flame_Kaiser,Specialist,
5970,AmigoDoFelipe,Specialist,Brazil
5971,hkbishwa,Specialist,Bangladesh
5972,Vk98,Specialist,India
5973,sickchicken,Specialist,
5974,Sizzlk,Specialist,India
5975,Vaibhav_Domadia,Expert,India
5976,brkdnmz,Expert,Turkey
5977,black_rabbit,Expert,
5978,yichen0415,Pupil,
5979,V4V,Expert,
5980,findgirlfriend,Specialist,
5981,ninadc,Pupil,India
5982,zachi,Specialist,Кыргызстан
5983,rivalq,Candidate Master,India
5984,I_Love_Shraddha_Kapoor,Specialist,
5985,sanyam1101,Specialist,India
5986,tshr,Specialist,Bangladesh
5987,dara_t,Specialist,Kazakhstan
5988,dalip_patra,Specialist,India
5989,Tsugiru,Specialist,Lebanon
5990,PatrykM,Specialist,Poland
5991,monu_kumar,Specialist,
5992,devil_17,Specialist,India
5993,Machado,Specialist,Brazil
5994,LiuzixuanO_O,Specialist,
5995,parthsingh287,Specialist,India
5996,atul2938,Specialist,India
5997,LeticiaFCS,Specialist,Brazil
5998,Keshav_J,Specialist,India
5999,brianlee0415,Specialist,Taiwan
6000,ilkerkosaroglu,Specialist,Turkey
6001,HungTeen,Specialist,China
6002,bomb233,Specialist,China
6003,llx2020,Specialist,China
6004,arsh1598,Pupil,India
6005,preet_t,Specialist,
6006,TouchMe,Specialist,China
6007,tushar_garg,Specialist,India
6008,351txdy,Specialist,
6009,MayankG,Specialist,India
6010,H_M_Vaghasiya,Expert,India
6011,ibex7,Specialist,
6012,pitfall,International Master,Russia
6013,DarkKeks,Master,Belarus
6014,eulerscheZahl,Candidate Master,Germany
6015,microtony,Master,Hong Kong
6016,vadimmm,Candidate Master,Belarus
6017,Baliuk,Master,Belarus
6018,DishonoredRighteous,Candidate Master,
6019,ulna,Master,Hong Kong
6020,HeartPattern,Expert,South Korea
6021,koboshi,Candidate Master,Japan
6022,ingdas,"Unrated,",
6023,Denzed,Expert,Russia
6024,fwl,Candidate Master,China
6025,mban259,Master,Japan
6026,kenkoooo,Expert,Japan
6027,Respect2D,Expert,Japan
6028,yevhenii_kanivets,Expert,Ukraine
6029,jonas.havelka.42,Master,Czechia
6030,mr_d,Candidate Master,
6031,prpht,"Unrated,",
6032,BrunoTissei,Candidate Master,Brazil
6033,Jason5Lee,"Unrated,",China
6034,SlavaG,Expert,Russia
6035,yijan,Candidate Master,
6036,kadhonn,"Unrated,",
6037,songsinger,Expert,Germany
6038,BrueggerRobin,"Unrated,",
6039,PugachAG,Candidate Master,Netherlands
6040,hzk,Candidate Master,China
6041,YESMAths,Specialist,India
6042,black3r,Expert,Slovakia
6043,h__h,Candidate Master,Russia
6044,carott,Expert,China
6045,Serega,Expert,Russia
6046,tokitsukaze,Master,
6047,avm,Candidate Master,Russia
6048,hrynb,Candidate Master,China
6049,Mur,Expert,Russia
6050,bohuss,Candidate Master,Slovakia
6051,siwei,Master,
6052,HavlongRG,Expert,Russia
6053,saeed_odak,Candidate Master,Iran
6054,MisterTester,"Unrated,",
6055,MixaPlt,Expert,Ukraine
6056,prvocislo,Candidate Master,Slovakia
6057,etwasanderes2,Specialist,
6058,mainstring,Expert,Bangladesh
6059,falanga,International Master,Croatia
6060,seirion,Specialist,South Korea
6061,formalist,Specialist,Russia
6062,aberent,Expert,United Kingdom
6063,ideale82,"Unrated,",South Korea
6064,refpuyo,"Unrated,",Japan
6065,rollie,"Unrated,",
6066,prem_cse,Expert,India
6067,DemoVersion,Expert,Iran
6068,cmplx-xyttmt,Expert,Uganda
6069,zggf,Expert,Poland
6070,kokokochet,Expert,Russia
6071,mizabrik,Specialist,Russia
6072,Ziel,Specialist,Kazakhstan
6073,nella17,Expert,Taiwan
6074,sylvyrfysh,Specialist,United States
6075,TrainingRoom,Specialist,
6076,Ehmeed,Specialist,
6077,shop_one,Expert,Japan
6078,Rubesty,Specialist,
6079,Aphanasiy,Expert,Russia
6080,Hossam,Specialist,Egypt
6081,yukuku,"Unrated,",
6082,BernardoSulzbach,Expert,Brazil
6083,wasa855,International Master,China
6084,dkozak94,Pupil,Czechia
6085,kissed,Newbie,Russia
6086,alefas239,"Unrated,",
6087,NextB,Expert,Israel
6088,SerVB,Pupil,Russia
6089,marty.neal,"Unrated,",
6090,sapphire15,Candidate Master,Japan
6091,dem1tris,"Unrated,",Russia
6092,teitoku,Candidate Master,China
6093,Amir_Reza,Expert,Iran
6094,frankhannes,"Unrated,",
6095,Reza_H,Expert,Iran
6096,xiberfix,Specialist,Russia
6097,__mdsinalpha__,"Unrated,",Iran
6098,MaxPylypovych,Specialist,Ukraine
6099,vitriol,Expert,South Korea
6100,pjtsai,"Unrated,",
6101,ryo_n,Specialist,Japan
6102,huangwenlong,Specialist,China
6103,H0ssein,Specialist,Iran
6104,mamaReza,Pupil,Iran
6105,HardmeanKotlin,"Unrated,",
6106,sjd0,Specialist,India
6107,Alisher_Kamolov,Pupil,Tajikistan
6108,Urvatullo_A.,Pupil,Tajikistan
6109,SuhaibSawalha1,Newbie,Palestinian Territory
6110,S1NC,Pupil,Kazakhstan
6111,foucault,Newbie,Kazakhstan
6112,nitin_98,Newbie,India
6113,Firdavsi_Hasanov,Newbie,Tajikistan
6114,Subarna578,Newbie,Nepal
6115,Yo_S_iN,Pupil,Tajikistan
6116,M.Alijon,Pupil,Tajikistan
6117,KanhuKeNanu,Newbie,
6118,RealFreddy,Specialist,
6119,RealDemo,"Unrated,",
6120,nasastronaut,Pupil,Tajikistan
6121,zwu_2018010782,Pupil,
6122,lnt0995449235,Specialist,Vietnam
6123,Muqimov_Amonullo,Newbie,
6124,BugsBunny,Master,India
6125,_snowman_,Specialist,
6126,sep82,Pupil,
6127,DishantLodaliya,Specialist,India
6128,Oak_limyhaslowestrating,Specialist,
6129,ahihiNTN,Pupil,
6130,M.A.Zohir,Newbie,Tajikistan
6131,nibirjoydhar,"Unrated,",Bangladesh
6132,gregr,Specialist,
6133,anupamshah_,Expert,India
6134,thech0sen1,Candidate Master,United States
6135,artzmb,"Unrated,",
6136,Ebrahim_Emon,"Unrated,",Bangladesh
6137,szfck,Expert,
6138,Systems.expert,Pupil,Саудовская Аравия
6139,A.Mehrob,Specialist,Tajikistan
6140,nalin_1000101,Newbie,India
6141,Abdullah_El_Fahhar,"Unrated,",Egypt
6142,Anish1712,Expert,India
6143,Mazaalai,Expert,
6144,Ankit_chauhan,Pupil,India
6145,krijgertje,International Grandmaster,Netherlands
6146,Suffix_Array,Pupil,Greece
6147,yzyejh,Pupil,
6148,TimDSF,Specialist,
6149,RPCLS_error,Newbie,
6150,Ahmad,Candidate Master,United States
6151,gzn3926,"Unrated,",United States
6152,vishnupsingh523,"Unrated,",India
6153,simenl,Candidate Master,Norway
6154,Irfanmaulanasidiq,"Unrated,",
6155,ParsaTHI,"Unrated,",Iran
6156,Tangerine,Specialist,Russia
6157,vana06,"Unrated,",Russia
6158,tscha,"Unrated,",
6159,strelas,Expert,Russia
6160,dorastephen,"Unrated,",
6161,0xCAFB,Pupil,
6162,NativeCode,Expert,
6163,HerrMazik,"Unrated,",
6164,dyukha,Master,Russia
6165,vicky366,"Unrated,",
6166,014-BekAuez777,Pupil,
6167,bitchesindahouse,Pupil,
6168,FikiCar,Pupil,
6169,lightgreen,Candidate Master,China
6170,ikid_Hoang,Candidate Master,Vietnam
6171,arshak.khoshnevis,"Unrated,",Iran
6172,jovan2002,"Unrated,",
6173,rego97,Expert,
6174,bramkamies,"Unrated,",
6175,wumo,"Unrated,",
6176,arthurconmy,Master,United Kingdom
6177,LightYagami674,Pupil,
6178,mark.salyakhov,Specialist,Russia
6179,d-r-q,"Unrated,",
6180,CotoiRares,Pupil,Romania
6181,Jeanpierre71,"Unrated,",
6182,shrey82,Newbie,
6183,yerongli.personal,Pupil,
6184,jaro2gw,"Unrated,",
6185,rloic,"Unrated,",
6186,Prateek,Candidate Master,India
6187,xwoqlk,Candidate Master,
6188,DavidLescano,Pupil,Argentina
6189,Madfors,"Unrated,",
6190,eunsung.lim93,Expert,South Korea
6191,Ehab_Fawzy,Expert,Egypt
6192,xxrlz,Expert,
6193,Hellyscythe,Expert,Ukraine
6194,paul.devrieze,"Unrated,",
6195,nk.karpov,Master,United States
6196,pandrei,Candidate Master,
6197,Pisces0311,Expert,
6198,poqueque,"Unrated,",
6199,T49E2,"Unrated,",
6200,mumumucoder,Pupil,Japan
6201,queencurry,"Unrated,",South Korea
6202,chitrung1,Pupil,Vietnam
6203,lovef,"Unrated,",
6204,lucimihai,"Unrated,",
6205,jay.carey,"Unrated,",
6206,ellem,"Unrated,",
6207,roma_02.97,"Unrated,",
6208,Smakson,Newbie,
6209,Cubermaster,"Unrated,",
6210,peiandsky,"Unrated,",
6211,alexey.kleschikov,"Unrated,",
6212,kamila.chyla,"Unrated,",
6213,O00,"Unrated,",
6214,zhouyuyang,International Grandmaster,China
6215,Chelly,International Grandmaster,
6216,f.bialas,Grandmaster,Czechia
6217,Lewin,Grandmaster,United States
6218,..vince,Grandmaster,Indonesia
6219,zhouzhendong,Grandmaster,China
6220,edisonhello,International Master,Taiwan
6221,xymtxdy,International Grandmaster,China
6222,Azteca,International Master,Romania
6223,wwdd,Master,
6224,DaniilF,International Master,Russia
6225,wzp666,International Grandmaster,China
6226,re_eVVorld,International Master,Ukraine
6227,foreseeable,Master,United States
6228,Akulen,Candidate Master,Belgium
6229,Itst,International Grandmaster,China
6230,Lollipop,Master,Belarus
6231,disangan233,International Master,China
6232,triple__a,Master,China
6233,shatovoleg,Master,Russia
6234,nonamefour0210,Grandmaster,Taiwan
6235,qsmcgogo,Expert,China
6236,ZhouShang0817,Master,China
6237,sarthakmanna,Expert,India
6238,nantfaker,Expert,China
6239,2019-nCoV,Expert,
6240,_DOFY,Expert,
6241,Krain233,Expert,China
6242,sebi110,Candidate Master,Romania
6243,ceerRep,Expert,China
6244,Jorke,Candidate Master,Netherlands
6245,Adabana_Necromancy,Expert,
6246,Troverld,Candidate Master,
6247,hardikpandya,Master,India
6248,RedLeaf,Expert,Taiwan
6249,JustinRochester,Expert,China
6250,MOPKOBKA228,Expert,Russia
6251,jjikkollp,Candidate Master,China
6252,Maurycyt,Specialist,Poland
6253,Johnson_sky,Candidate Master,China
6254,This0is0the0AmShZ,Candidate Master,Spain
6255,JooooooooooDdae,Master,South Korea
6256,1ittle_5un,Expert,
6257,xioxio,Expert,
6258,chunchunmaru,Expert,Peru
6259,CHelle,Candidate Master,
6260,KwanghyunOn,Expert,
6261,bash,Expert,Kazakhstan
6262,TheManTheMythTheLegend,Expert,
6263,S_test,Candidate Master,China
6264,proud_hiccup,Expert,Vietnam
6265,Cherry_love_Lufars,Candidate Master,
6266,__cucumber__,Candidate Master,Russia
6267,hanga97,Expert,Germany
6268,ElBoruto,Expert,Turkey
6269,copperium,Expert,Canada
6270,ChaewonKim,Expert,
6271,JJH_QAQ,Expert,China
6272,hhhjhy,"Unrated,",China
6273,NaVi_Gation,Candidate Master,China
6274,syl123456,Master,Taiwan
6275,cnlearningman,Specialist,
6276,czynt,Candidate Master,China
6277,paco,Specialist,Macao
6278,powergee101,Specialist,South Korea
6279,wangdyakioi,Expert,China
6280,Y25t,Expert,China
6281,Anthem,Specialist,
6282,nbutacm,Candidate Master,China
6283,HIT_Zero,Candidate Master,China
6284,zhumingyang,Candidate Master,China
6285,LiuRunkY,Candidate Master,China
6286,DerWaschbar,Expert,
6287,Edenis,Expert,Cuba
6288,PiyushGupta,Expert,India
6289,Junakson,Expert,Poland
6290,i3Cheese,Expert,Russia
6291,JFTS,Specialist,
6292,Timofey778,Candidate Master,Russia
6293,chzhc,Candidate Master,China
6294,matw,Expert,Poland
6295,gouh9qn,Expert,Antarctica
6296,MsiQue,Candidate Master,
6297,nandkishorbairagi,Expert,
6298,11231123,Specialist,China
6299,XeroxAuto,Specialist,
6300,wqst,Expert,Japan
6301,The_Flash_,Expert,
6302,zqrtxdy,Candidate Master,
6303,KZNS,Expert,
6304,Yami_Love_Yukee,Expert,
6305,i_mailang,Expert,
6306,luanzhengyaoqiu,Expert,
6307,hrsh_panwar,Master,India
6308,Erkhemkhuu,Expert,Mongolia
6309,heheda233,Expert,
6310,SIackbot,Expert,South Korea
6311,AyozePerez17,Candidate Master,
6312,gojib2002,Expert,South Korea
6313,C.C.A.,Expert,
6314,majifirst,Specialist,
6315,qty_endless,Candidate Master,China
6316,TonicJoker,Expert,Russia
6317,kcaze,Expert,
6318,mitribunskiy,Expert,Russia
6319,Sad_Stove,Specialist,
6320,NWPU_majingboNB,Expert,
6321,Whisdangist,Expert,China
6322,polyakoff,Expert,
6323,YaKonchil,Master,Kazakhstan
6324,stonejjun,Candidate Master,South Korea
6325,lebeg,Expert,Belarus
6326,lhxQAQ,Expert,
6327,JackandJackson,Expert,
6328,Rainybunny,Expert,
6329,i_f_y_m,Expert,
6330,lindlind,Expert,
6331,Night_Raven,Specialist,China
6332,Road_to_UFU,Candidate Master,
6333,Noimin,Expert,Japan
6334,ybw051114,Expert,China
6335,plourde27,Candidate Master,United States
6336,Ccucumber12,Candidate Master,Taiwan
6337,kupriyanov,Master,Ukraine
6338,Initializer,Expert,
6339,cjj490168650,Candidate Master,China
6340,toame207341,Expert,Japan
6341,otera,Candidate Master,Japan
6342,devaar100,Expert,
6343,mhdx,Expert,China
6344,psjtxdy,Expert,
6345,leejseo,Candidate Master,South Korea
6346,realaqua,Expert,Taiwan
6347,Olerinskiy,Candidate Master,Russia
6348,uryuuu,Candidate Master,China
6349,surverrepairman,Expert,South Korea
6350,bacon_cwk,Candidate Master,China
6351,BrokenDreACM,Expert,China
6352,andreumat,Candidate Master,Belarus
6353,fake_mashinka,Expert,
6354,michao,Candidate Master,Poland
6355,COVID-19,Candidate Master,China
6356,kent_nishimura,Specialist,
6357,jxdxhy,Grandmaster,
